species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,inbreeding_state,sampled_by,isolated_by,sampling_date,sampling_date_comments,notes,set,issues,issue_notes,isotype_ref_strain,wgs_seq,flag_sampled_by_is_email_address,flag_isolated_by_is_email_address,flag_species_not_in_target_species,flag_unusual_substrate_class,flag_unusual_landscape_class
Caenorhabditis elegans,ITS2,ECA2928,,S-14041,,ECA,22.1330096999978,-159.6515086,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,16.8,85.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2929,,S-14042,,ECA,22.1326106999991,-159.6516852,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.4,16.8,82.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2930,,S-14043,,ECA,22.1326106999991,-159.6516852,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.4,16.8,82.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2931,,S-14044,,ECA,22.132461399998,-159.6516555,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,18.2,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2932,,S-14045,,ECA,22.132461399998,-159.6516555,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,18.2,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2933,,S-14046,,ECA,22.132495,-159.6516514,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,17.5,83.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2934,,S-14052,,ECA,22.134227,-159.6502182,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.3,17.5,85.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2935,,S-14053,,ECA,22.133915,-159.6504496,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17,17.5,84.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis briggsae,ITS2,ECA2936,,S-14054,,ECA,22.0644490999379,-159.348913899999,Forest,Kauai,Rotting_nut/pod/seed/fruit,"",23.3,21.6,91.2,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis briggsae,ITS2,ECA2937,,S-14055,,ECA,22.0644490999379,-159.348913899999,Forest,Kauai,Rotting_nut/pod/seed/fruit,"",23.3,21.6,91.2,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
